TrainCallNote;TrainCallNote.CallId;TrainCallNote.DisplayOrder;TrainCallNote.IsDriverNote;TrainCallNote.IsStationNote;TrainCallNote.IsShuntingNote;TrainCallNote.IsForArrival;TrainCallNote.IsForDeparture;TrainCallNote.TrainInfo
Tellurian.Trains.Planning.App.Contracts.LocoDepartureCallNote;5793;−303;True;True;False;False;True;"  0 Dagl"
Tellurian.Trains.Planning.App.Contracts.LocoDepartureCallNote;5793;−303;True;True;False;False;True;"  0 Dagl"
Tellurian.Trains.Planning.App.Contracts.LocoDepartureCallNote;5798;−303;True;True;False;False;True;"  0 Dagl"
Tellurian.Trains.Planning.App.Contracts.LocoDepartureCallNote;5798;−303;True;True;False;False;True;"  0 Dagl"
Tellurian.Trains.Planning.App.Contracts.LocoDepartureCallNote;5803;−303;True;True;False;False;True;"  0 Dagl"
Tellurian.Trains.Planning.App.Contracts.LocoDepartureCallNote;5808;−303;True;True;False;False;True;"  0 Dagl"
Tellurian.Trains.Planning.App.Contracts.LocoDepartureCallNote;5808;−303;True;True;False;False;True;"  0 Dagl"
Tellurian.Trains.Planning.App.Contracts.LocoDepartureCallNote;5813;−303;True;True;False;False;True;"  0 Dagl"
Tellurian.Trains.Planning.App.Contracts.LocoDepartureCallNote;5821;−303;True;True;False;False;True;"  0 Dagl"
Tellurian.Trains.Planning.App.Contracts.LocoDepartureCallNote;5821;−303;True;True;False;False;True;"  0 Dagl"
Tellurian.Trains.Planning.App.Contracts.LocoDepartureCallNote;5827;−303;True;True;False;False;True;"  0 Dagl"
Tellurian.Trains.Planning.App.Contracts.LocoDepartureCallNote;5829;−303;True;True;False;False;True;"  0 Dagl"
Tellurian.Trains.Planning.App.Contracts.LocoDepartureCallNote;5844;−303;True;True;False;False;True;"  0 Dagl"
Tellurian.Trains.Planning.App.Contracts.LocoDepartureCallNote;5846;−303;True;True;False;False;True;"  0 Dagl"
Tellurian.Trains.Planning.App.Contracts.LocoDepartureCallNote;5848;−303;True;True;False;False;True;"  0 Dagl"
Tellurian.Trains.Planning.App.Contracts.LocoDepartureCallNote;5853;−303;True;True;False;False;True;"  0 Dagl"
Tellurian.Trains.Planning.App.Contracts.LocoArrivalCallNote;5596;−303;True;True;False;True;False;"  0 Dagl"
Tellurian.Trains.Planning.App.Contracts.LocoTurnNote;5596;−303;True;True;False;True;False;"  0 Dagl"
Tellurian.Trains.Planning.App.Contracts.LocoArrivalCallNote;5597;−303;True;True;False;True;False;"  0 Dagl"
Tellurian.Trains.Planning.App.Contracts.LocoTurnNote;5597;−303;True;True;False;True;False;"  0 Dagl"
Tellurian.Trains.Planning.App.Contracts.LocoArrivalCallNote;5597;−303;True;True;False;True;False;"  0 Dagl"
Tellurian.Trains.Planning.App.Contracts.LocoTurnNote;5597;−303;True;True;False;True;False;"  0 Dagl"
Tellurian.Trains.Planning.App.Contracts.LocoCirculationNote;5601;−303;True;True;False;True;False;"  0 Dagl"
Tellurian.Trains.Planning.App.Contracts.LocoCirculationNote;5637;−303;True;True;False;True;False;"  0 Dagl"
Tellurian.Trains.Planning.App.Contracts.LocoCirculationNote;5637;−303;True;True;False;True;False;"  0 Dagl"
Tellurian.Trains.Planning.App.Contracts.LocoCirculationNote;5640;−303;True;True;False;True;False;"  0 Dagl"
Tellurian.Trains.Planning.App.Contracts.LocoCirculationNote;5640;−303;True;True;False;True;False;"  0 Dagl"
Tellurian.Trains.Planning.App.Contracts.LocoArrivalCallNote;5646;−303;True;True;False;True;False;"  0 Dagl"
Tellurian.Trains.Planning.App.Contracts.LocoArrivalCallNote;5646;−303;True;True;False;True;False;"  0 Dagl"
Tellurian.Trains.Planning.App.Contracts.LocoCirculationNote;5654;−303;True;True;False;True;False;"  0 Dagl"
Tellurian.Trains.Planning.App.Contracts.LocoArrivalCallNote;5667;−303;True;True;False;True;False;"  0 Dagl"
Tellurian.Trains.Planning.App.Contracts.LocoTurnNote;5667;−303;True;True;False;True;False;"  0 Dagl"
Tellurian.Trains.Planning.App.Contracts.LocoCirculationNote;5677;−303;True;True;False;True;False;"  0 Dagl"
